,loss,f1-score,f1_patch
0,0.4152904431025187,0.4876741832512507,0.5590276947192631
1,0.2498236169417699,0.576486209540091,0.6497954207199768
2,0.22617120742797853,0.587217734267461,0.6592940042644186
3,0.19489940404891967,0.6051461250060259,0.6770913548428342
4,0.1842802902062734,0.6131179576714546,0.6859490717478883
5,0.1726473997036616,0.6246651567425913,0.6979719178202904
6,0.1636029044787089,0.6288573073076786,0.7025105916710945
7,0.1673987885316213,0.631114288545091,0.704921830716949
8,0.15131696859995525,0.643495356123017,0.717792814789856
9,0.14538799226284027,0.6466801677467159,0.7219120714645862
10,0.1567007929086685,0.6343357611278687,0.7105946495702415
11,0.15018284916877747,0.6454238665285523,0.7192002333903224
12,0.1464772174755732,0.6424991924436613,0.7169161117755792
13,0.15200008153915406,0.6405978041860065,0.7138364577565762
14,0.148072749376297,0.6400933953105502,0.7132609011085341
15,0.13683701157569886,0.6485136170719451,0.7231269720581853
16,0.12611938218275706,0.6639845610435479,0.7386130667491614
17,0.11856360932191214,0.6659027243471299,0.7417759696199046
18,0.11624516149361928,0.6701530395894505,0.7470295151101365
19,0.11569421589374543,0.6706550319448892,0.7468291351427444
20,0.11288604537645976,0.6719709981819936,0.7497645518244631
21,0.11278252204259237,0.6733856613223989,0.7490610702851829
22,0.11052687068780263,0.6720682424961385,0.746422738859869
23,0.11034238139788309,0.677970415164156,0.7549161126786866
24,0.10947453876336416,0.6743471767396251,0.7498834266215921
25,0.10763054887453714,0.6783763589333461,0.7541527360980023
26,0.10895661513010661,0.6755906049270483,0.7538992999385011
27,0.10668888588746389,0.6791990597467586,0.7561990358698938
28,0.10623719294865926,0.6796960833469683,0.7556229518618574
29,0.10753402908643087,0.6775930372874713,0.75317799940581
30,0.10697974363962809,0.676517164429646,0.7541119627140336
31,0.10652461151281993,0.674555916952352,0.7515516863150001
32,0.10650461316108703,0.6791640348082338,0.7566983302967031
33,0.10543868442376454,0.6799402814306803,0.7568328180421376
34,0.10564094384511312,0.6785259375373557,0.7548385893911043
35,0.10506408909956615,0.6778781869921875,0.7550836239149847
36,0.10749883949756622,0.6801892325864481,0.7556185867058647
37,0.1052781105041504,0.678082824003523,0.7557688115084564
38,0.10587938924630483,0.6765453376297119,0.7543146078390158
39,0.10509334007898967,0.6798744485403575,0.7581880264979378
40,0.10639738837877909,0.6816179814871715,0.7581784536962052
41,0.10646097560723623,0.6818448487825017,0.75742802740214
42,0.10386373698711396,0.6832111895936465,0.7584243877698019
43,0.10583642224470774,0.6792126273588199,0.7557352781724082
44,0.10600292682647705,0.677727981876119,0.7538649464167216
45,0.10636988878250123,0.6786090809036274,0.755212139110068
46,0.10558054447174073,0.6780466068621929,0.7563105162698356
47,0.10439237554868062,0.6792854510210309,0.756261151871359
48,0.10462886393070221,0.682325335272127,0.7602383806747712
49,0.10583287974198659,0.6782827573341628,0.7546725492620464
50,0.10428720414638519,0.6812876714067079,0.7590960667920724
51,0.1058410366376241,0.6768520318639932,0.7537614553701832
52,0.10617006222407023,0.6817202394270223,0.7574458254598789
53,0.10576361914475758,0.6770444635534406,0.7541576572123908
54,0.10509379704793294,0.6803671884261981,0.7570351235439989
55,0.10564980407555898,0.6794481127501223,0.7557125633789834
56,0.1055049866437912,0.6775611193511324,0.7548460357853849
57,0.10464979509512583,0.6830591204256083,0.7599886549183886
58,0.10537310341993968,0.6754988401684847,0.7533371854969487
59,0.10547884404659272,0.6799778364179917,0.7575970624269442
60,0.10629981855551401,0.6792198711183752,0.7568480588007215
61,0.10474084417025248,0.6812183836521478,0.7582495844884896
62,0.1062311718861262,0.6793565453079137,0.7560767839983816
63,0.10422759254773457,0.6805293118143294,0.7579900656269
64,0.1058511217435201,0.6757231508482983,0.7528685872805695
65,0.10604404211044312,0.6823939025644111,0.7588386153622838
66,0.10627762178579966,0.6779765596796067,0.7536313050033463
67,0.10577031075954438,0.6831214058227856,0.7574219020077008
68,0.10569672683874766,0.6772916018295839,0.7519762657077746
69,0.10507803757985433,0.6790968076250441,0.7555907673030455
70,0.10555613537629445,0.676705335654823,0.7532433887611403
71,0.10492179195086161,0.6810026234170296,0.75819603760802
72,0.10683677395184835,0.6737840183484513,0.750064961063482
73,0.10544443329175314,0.6765256465132372,0.7528353489596094
74,0.10407245655854543,0.6806058386295707,0.7557398435172105
75,0.10506750345230102,0.6818431641552483,0.7584895997876766
76,0.10560474793116252,0.6794604490140326,0.7562189610192568
77,0.10549194117387135,0.6776479947152448,0.7539629706530592
78,0.10471004446347555,0.6768226138354447,0.7532067432622165
79,0.10597643256187439,0.6770704519866926,0.7545061191547879
